"precinct","town","total.pop","p.white","p.black","p.aian","p.asian","p.nhpi","p.other","p.multi","p.hisp","edupop","lesshs","hs","scol","bach","graddeg","p.colgrad","p.owner","p.renter","p.poverty","medinc","pres.score.g16","gov.score.g18","pres.score.g20"
"Buffalo South 1","Buffalo South",140,70.71,3.57,0.71,0,0.71,0,2.14,25,102,10,41,39,11,3,13.73,66.43,33.57,12.86,50480,55.35,52.43,55.95
"Buffalo South 2","Buffalo South",1812,65.34,7.78,0.06,0,0.28,0,1.77,24.94,1389,155,570,485,145,36,12.96,44.62,55.43,14.18,50480,58.78,57.69,59.26
"Buffalo South 3","Buffalo South",763,82.44,1.31,0.13,6.82,0.13,0,2.88,6.68,605,51,170,187,132,68,32.89,73.14,26.99,13.63,65479,56.4,58.85,62.94
"Buffalo South 4","Buffalo South",862,86.08,1.16,0.12,1.62,0.12,0,5.34,6.03,750,39,263,255,127,68,26,69.77,30.23,8.47,57943,50.72,53.68,61.88
"Buffalo South 5","Buffalo South",864,78.47,11.23,0,0.35,0,0,0.46,9.61,706,153,233,206,74,42,16.43,44.51,55.61,22.11,53978,52.95,52.78,52.32
"Buffalo South 6","Buffalo South",697,79.05,10.62,0,0.43,0,0,1,9.33,569,112,193,169,63,33,16.87,45.73,54.41,22.09,53978,62.29,69.61,65.52
"Buffalo South 7","Buffalo South",413,85.96,1.21,0,1.69,0,0,5.33,6.05,359,19,126,122,61,33,26.18,69.9,30.34,8.47,62452,65.75,66.07,69.1
"Buffalo South 8","Buffalo South",659,82.4,1.37,0.15,6.83,0.15,0,2.88,6.68,522,44,146,162,114,59,32.95,73.08,26.92,13.66,63890,60,56.77,62.24
"Buffalo South 9","Buffalo South",621,82.29,1.29,0.16,6.92,0,0,2.9,6.6,492,41,138,152,107,55,32.93,73.2,26.96,13.69,71939,61.39,60,61.86
"Buffalo South 10","Buffalo South",498,86.14,1.2,0.2,1.61,0,0,5.42,6.02,434,23,152,148,74,40,26.04,69.82,30.18,8.43,66709,62.89,62.64,64.96
"Buffalo South 11","Buffalo South",1437,82.53,6.05,0,0.63,0,0,4.31,6.68,1153,77,464,390,174,51,19.43,53.76,46.24,21.71,53978,58.32,64.14,58.71
"Buffalo South 12","Buffalo South",308,66.23,7.14,0.32,0,0.32,0,1.95,25,234,26,96,83,25,6,13.25,48.21,51.79,13.96,62249,54.71,59.74,55.72
"Buffalo South 13","Buffalo South",605,82.48,1.32,0.17,6.94,0.17,0,2.98,6.61,480,41,135,148,105,54,32.92,73.03,26.97,13.72,71189,57.03,59.49,62.58
"Buffalo South 14","Buffalo South",640,82.5,1.41,0.16,6.88,0,0,2.97,6.72,508,43,142,157,111,57,32.87,73.22,26.94,13.59,66709,64.84,64.38,69.7
"Buffalo South 15","Buffalo South",511,86.11,1.17,0.2,1.57,0,0,5.48,6.07,444,23,156,151,76,40,25.9,69.74,30.45,8.61,66709,62.5,61.45,62.35
"Buffalo South 16","Buffalo South",1183,82.67,5.83,0.08,0.59,0,0,4.31,6.85,949,65,380,320,143,42,19.39,54.27,45.81,21.3,62492,53.35,60.46,59.61
"Buffalo South 17","Buffalo South",881,83.43,4.2,0.79,2.38,0.11,0,1.36,8.06,705,40,197,248,125,98,31.49,82.08,17.92,8.74,65492,54.1,60.26,58.43
"Buffalo South 18","Buffalo South",1292,83.67,1.24,0.15,6.11,0,0,2.94,6.04,1029,79,296,317,222,118,32.94,73.96,26.04,12.46,74683,62.11,62.05,64.72
"Buffalo South 19","Buffalo South",2534,82.52,6,0.04,0.59,0.04,0,4.3,6.67,2034,136,817,687,307,89,19.47,53.83,46.21,21.7,65671,55.7,54.29,57.74
"Buffalo South 20","Buffalo South",414,83.09,5.56,0,0.72,0,0,4.35,7,332,24,133,112,50,15,19.28,54.88,45.12,21.01,57570,58.37,59.41,60.08
"Buffalo South 21","Buffalo South",648,82.41,4.01,0.15,3.24,0,0,3.7,6.64,517,38,182,169,93,38,25.15,61.88,38.12,18.36,74118,57.5,66.19,62.64
"Buffalo South 22","Buffalo South",182,70.88,3.3,0.55,0.55,0,0,1.65,24.73,133,13,53,50,14,4,13.53,66.85,33.7,12.64,64224,46.87,50,54.82
"Buffalo South 23","Buffalo South",728,84.07,5.63,1.24,0.14,0,0,0.55,8.93,585,25,163,218,92,89,30.94,86.66,13.48,6.18,73896,51.58,60.76,60.75
"Buffalo South 24","Buffalo South",1149,90.34,2.18,0.35,0.78,0,0,2.44,4.18,941,32,299,302,178,131,32.84,83.07,17.02,4.09,82836,60.82,55.08,62.3
"Buffalo South 25","Buffalo South",1075,93.02,0.65,0.09,1.12,0,0,3.26,2.05,887,28,297,265,180,119,33.71,81.15,18.85,3.26,74118,50.95,53.41,57.56
"Buffalo South 26","Buffalo South",733,83.9,5.73,1.23,0,0,0,0.55,8.87,589,25,164,220,93,89,30.9,86.59,13.41,6.14,67094,50.52,52.27,54.23
"Buffalo South 27","Buffalo South",732,84.02,5.74,1.23,0,0,0,0.55,8.88,588,25,164,219,93,89,30.95,86.59,13.41,6.15,67094,53.26,48.98,59.37
"Buffalo South 28","Buffalo South",1015,91.03,1.77,0.3,0.89,0,0,2.66,3.55,832,28,268,262,161,115,33.05,82.59,17.51,3.84,83595,54.53,56.06,55.79
"Buffalo South 29","Buffalo South",807,84.01,5.7,1.12,0,0,0,0.62,8.92,649,28,181,242,102,99,30.82,86.71,13.42,6.2,67094,52.24,56.79,58.12
"Buffalo South 30","Buffalo South",1170,91.28,1.62,0.26,0.85,0,0,2.74,3.42,960,32,311,301,187,132,33.12,82.44,17.65,3.76,83595,58.04,50.43,54.77
"Tonawanda 1","Tonawanda",1036,81.27,5.12,0.77,0.1,0,0.1,9.75,3.19,828,15,198,310,187,120,37.08,77.73,22.27,12.93,62352,60.29,67.28,69.34
"Tonawanda 2","Tonawanda",946,81.4,5.07,0.74,0.11,0,0,9.73,3.28,756,14,179,282,172,112,37.43,77.86,22.25,12.79,78612,62.11,67.32,69.42
"Tonawanda 3","Tonawanda",949,80.93,5.69,0.11,1.26,0,0,2.95,9.38,788,62,110,184,253,181,55.08,77.79,22.32,4.21,74314,61.54,66.58,71.28
"Tonawanda 4","Tonawanda",868,70.51,12.67,1.38,2.07,0,0.23,6.34,7.14,722,36,190,317,116,66,25.07,83.87,16.13,3,61772,56.19,56.99,63.49
"Tonawanda 5","Tonawanda",969,80.39,6.09,0.1,1.14,0,0,2.89,9.91,812,68,115,183,268,181,55.17,77.84,22.16,3.41,74314,66.74,71.93,70.28
"Tonawanda 6","Tonawanda",928,81.14,5.6,0.11,1.4,0,0,3.02,9.16,768,59,106,182,243,179,54.95,77.52,22.48,4.63,74314,63.1,66.35,67.58
"Tonawanda 7","Tonawanda",900,84.11,3.89,0,2.56,0,0,3.89,5.89,703,33,91,204,183,194,53.63,75.7,24.41,10.11,77685,64.04,63.5,69.65
"Tonawanda 8","Tonawanda",863,84.13,3.82,0.12,2.55,0,0,3.82,5.91,674,32,87,195,176,186,53.56,75.67,24.33,10.08,82160,62.72,62.34,68.24
"Tonawanda 9","Tonawanda",746,84.05,3.89,0,2.55,0,0,3.89,5.9,582,28,75,169,152,161,53.61,75.64,24.36,10.05,77685,61.12,64.49,73.58
"Tonawanda 10","Tonawanda",889,84.14,3.82,0.11,2.47,0,0,3.82,5.85,695,33,90,201,181,192,53.53,75.73,24.38,10.12,82160,65.5,64.6,70.09
"Tonawanda 11","Tonawanda",749,84.11,3.87,0.13,2.54,0,0,3.87,5.87,585,28,75,169,152,161,53.5,75.6,24.4,10.01,76579,67.23,69.14,71.4
"Tonawanda 12","Tonawanda",883,81.43,5.1,0.79,0.11,0,0.11,9.85,3.17,705,12,169,265,159,102,36.88,77.84,22.16,13.02,65236,60.52,65.83,70.32
"Tonawanda 13","Tonawanda",667,81.41,5.1,0.75,0.15,0,0.15,9.75,3.15,532,9,127,200,120,78,37.03,77.89,22.26,12.89,66927,57.89,60.53,63.35
"Tonawanda 14","Tonawanda",997,81.44,5.02,0.7,0.1,0,0.1,9.73,3.21,796,14,190,298,180,117,37.19,77.87,22.23,12.94,71701,63.03,64.77,68.98
"Tonawanda 15","Tonawanda",1459,70.25,12.75,1.37,2.12,0,0.21,6.31,7.2,1213,59,318,534,194,110,25.06,84.1,15.97,2.81,64827,58.94,62.1,62.4
"Tonawanda 16","Tonawanda",1180,70.17,12.8,1.36,2.12,0,0.25,6.36,7.2,981,48,257,432,157,89,25.08,83.98,16.1,2.88,55391,54.39,60.11,63.55
"Tonawanda 17","Tonawanda",855,86.78,6.9,0,1.99,0,0.12,1.52,2.92,724,22,134,284,184,102,39.5,74.3,25.82,5.96,64286,48.95,50.58,58.08
"Tonawanda 18","Tonawanda",880,91.36,2.95,0.11,0.8,0,0.23,1.59,3.18,738,79,225,246,153,37,25.61,69.45,30.55,16.36,52301,48.17,52.92,61.22
"Tonawanda 19","Tonawanda",2597,92.76,0.89,0.31,0.15,0,1.54,3.62,0.77,2204,54,556,847,420,329,33.98,71.77,28.27,11.74,75227,46.63,47.99,56.41
"Tonawanda 20","Tonawanda",72,72.22,6.94,1.39,12.5,0,1.39,4.17,6.94,57,7,21,18,9,3,21.05,74.65,25.35,19.44,47468,51.68,52.85,54.78
"Tonawanda 21","Tonawanda",4293,69.21,20.2,0.02,4.1,0,0.02,3.94,2.59,3441,301,1430,1072,517,122,18.57,54.03,45.99,17.77,65337,43.79,46.26,48.81
"Tonawanda 22","Tonawanda",661,87.9,3.03,0.15,0.76,0,0.15,2.42,6.35,554,24,129,185,151,68,39.35,83.13,16.87,7.56,60598,41.57,45.73,48.5
"Tonawanda 23","Tonawanda",182,53.3,40.66,0,0.55,0,0,4.4,2.75,146,15,68,46,17,2,12.33,20.44,80.11,20.88,56970,60.79,62.86,61.43
"Tonawanda 24","Tonawanda",501,87.82,2.99,0.2,0.8,0,0.2,2.4,6.39,420,18,98,141,114,52,39.29,83.17,16.83,7.58,76290,47.56,51.59,54.57
"Tonawanda 25","Tonawanda",922,86.77,7.16,0,2.06,0,0,1.41,2.71,782,23,143,309,198,111,39.51,73.78,26.33,5.86,66781,59.34,58.49,65.71
"Tonawanda 26","Tonawanda",456,87.94,3.07,0,0.66,0,0,2.41,6.36,383,17,89,128,104,47,39.16,83.26,16.96,7.68,77235,47.58,47.87,54.47
"Tonawanda 27","Tonawanda",1476,86.25,9.28,0.07,2.78,0,0,0.88,0.95,1258,28,198,535,307,191,39.59,69.02,31.05,5.01,68921,43.51,44.64,47.52
"Tonawanda 28","Tonawanda",1506,92.3,2.79,0,0.27,0,0.27,1.39,3.19,1267,139,382,422,264,61,25.65,68.61,31.46,16.47,54836,58.38,63.29,66.24
"Tonawanda 29","Tonawanda",393,90.84,2.8,0.25,0.51,0,0.25,2.8,3.31,329,27,82,103,76,42,35.87,73.7,26.56,13.23,70586,62.1,66.67,70.8
"Tonawanda 30","Tonawanda",955,92.46,2.72,0.1,0.21,0,0.31,1.36,3.25,804,88,239,267,169,42,26.24,68.51,31.6,16.34,69622,50.51,51.96,54.69
"Tonawanda 31","Tonawanda",776,89.18,5.67,0.13,0.9,0,0.26,1.8,2.71,639,62,201,208,115,55,26.6,74.87,25.13,14.18,65560,56.09,62.02,63.84
"Tonawanda 32","Tonawanda",524,84.73,9.54,0.19,1.72,0,0.19,2.29,2.1,419,34,140,132,60,55,27.21,82.07,17.93,11.64,65684,48.4,50.5,53.44
"Tonawanda 33","Tonawanda",1344,84.82,9.38,0.07,1.71,0,0.07,2.31,2.01,1076,87,359,339,153,140,27.23,82.28,17.79,11.53,65684,44.5,50.17,53.06
"Tonawanda 34","Tonawanda",677,84.34,9.9,0.15,1.77,0,0.15,2.36,2.07,542,44,182,171,77,70,27.12,81.2,18.95,11.67,62380,42.67,47.03,49.17
"Tonawanda 35","Tonawanda",1688,87.8,3.26,0,0.83,0,0.06,2.25,6.04,1417,59,325,479,381,175,39.17,82.62,17.44,7.46,79861,42.16,47.06,48.35
"Tonawanda 36","Tonawanda",408,92.89,0.98,0.49,0.25,0,1.72,3.68,0.98,347,9,88,133,66,52,34.01,71.74,28.5,11.76,66781,58.93,59.25,64.08
"Tonawanda 37","Tonawanda",569,92.27,1.05,0.35,0.7,0,1.58,3.69,1.05,481,12,119,183,94,76,35.14,72.18,27.82,11.6,75093,49.74,55.08,60.47
"Tonawanda 38","Tonawanda",848,92.81,0.94,0.35,0.24,0,1.53,3.54,0.94,720,18,178,272,141,113,35.28,72.34,27.78,11.44,76708,53.57,54.18,60
"Tonawanda 39","Tonawanda",660,90,1.52,0.3,2.42,0,1.06,3.48,1.67,544,13,118,195,115,106,40.62,74.05,26.1,11.06,77979,54.4,57.77,62.08
"Tonawanda 40","Tonawanda",1502,92.81,0.93,0.33,0.2,0,1.53,3.66,0.8,1275,32,322,490,243,190,33.96,71.83,28.17,11.72,69229,49.24,54.5,56.4
"Tonawanda 41","Tonawanda",636,91.67,1.57,0.47,0.94,0,0,1.89,3.77,537,20,67,123,158,171,61.08,84.52,15.48,5.19,86636,50.64,52.04,53.88
"Tonawanda 42","Tonawanda",1493,87.88,2.21,0.2,3.95,0,0,2.48,3.48,1208,33,165,327,327,358,56.71,80.93,19.14,7.84,85142,49.57,54.35,59.61
"Tonawanda 43","Tonawanda",411,91.48,1.7,0.49,0.97,0,0,1.95,3.89,347,13,43,80,102,110,61.1,84.6,15.65,5.35,86636,62.14,61.98,68.77
"Tonawanda 44","Tonawanda",649,91.68,1.69,0.46,0.92,0,0,2,3.85,549,21,68,126,161,174,61.02,84.67,15.48,5.24,86636,53.03,58.36,62.53
"Tonawanda 45","Tonawanda",955,91.62,1.68,0.42,0.94,0,0,1.88,3.87,806,30,100,185,237,256,61.04,84.44,15.56,5.24,82160,56.53,56.67,68.16
"Tonawanda 46","Tonawanda",491,84.11,2.85,0,3.05,0,0.2,2.24,7.74,422,23,104,158,84,55,32.7,87.96,12.04,6.11,85880,43.58,44.33,52.35
"Tonawanda 47","Tonawanda",926,84.67,2.7,0.11,6.59,0,0,3.02,3.24,721,13,106,223,180,200,52.7,77.84,22.27,10.15,85143,52.24,53.38,54.76
"Tonawanda 48","Tonawanda",637,91.21,1.73,0.31,1.1,0,0,2.04,3.92,536,20,67,125,157,169,60.82,84.23,15.93,5.49,82657,57.95,57.91,66.46
"Tonawanda 49","Tonawanda",1453,84.45,2.82,0.07,6.26,0,0,3.03,3.51,1133,24,166,347,286,313,52.78,77.67,22.33,9.98,78645,60.36,60.21,66.64
"Tonawanda 50","Tonawanda",682,84.6,2.79,0,6.6,0,0,2.93,3.23,531,10,79,164,133,148,52.73,77.86,22.29,10.12,83649,49.34,53.68,59.03
"Tonawanda 51","Tonawanda",462,87.66,3.03,0,0.87,0,0.22,2.38,6.28,388,17,91,130,104,48,39.18,83.26,16.74,7.58,81558,48.5,52.14,53.99
"Tonawanda 52","Tonawanda",1487,84.67,2.69,0.07,6.59,0,0.07,2.96,3.23,1158,21,171,358,290,321,52.68,77.79,22.21,10.09,67749,63.05,63.58,68.07
"Tonawanda 53","Tonawanda",808,84.03,2.85,0,3.09,0,0.25,2.23,7.8,694,37,171,260,138,90,32.71,88.09,12.03,6.06,85880,47.97,46.4,53.08
"Tonawanda 54","Tonawanda",1350,84.07,2.81,0.07,3.04,0,0.22,2.3,7.78,1160,62,286,434,230,150,32.67,88.06,12.02,6.07,75818,46.06,50.25,55.06
"Tonawanda 55","Tonawanda",937,85.49,3.09,0,8.32,0,0.11,2.88,0.43,800,45,215,262,203,78,35.12,82.99,17.01,8.32,73598,56.85,56.85,63.46
"Tonawanda 56","Tonawanda",1986,84.09,2.82,0.05,3.02,0,0.2,2.27,7.7,1705,91,420,638,339,221,32.79,87.95,12.05,6.09,70188,50.47,53.12,55.84
"Tonawanda 57","Tonawanda",1892,85.52,3.07,0,8.3,0,0,2.91,0.37,1616,90,435,528,410,156,35.02,83.05,17,8.25,58078,54.41,58.16,63.43
"Tonawanda 58","Tonawanda",1314,84.09,2.82,0.08,3.04,0,0.23,2.28,7.76,1129,60,278,423,224,146,32.68,88.03,12.04,6.09,75818,47.4,51.82,52.76
"Tonawanda 59","Tonawanda",2484,79.79,7.25,0,7.17,0,0,3.46,2.42,2093,116,535,712,540,192,34.93,80.2,19.8,9.14,82356,55.58,58.64,60.86
"Tonawanda 60","Tonawanda",689,84.03,2.9,0,3.05,0,0.29,2.32,7.84,592,32,146,222,117,77,32.77,88.08,12.06,6.1,85880,44.64,47.22,50
"Tonawanda 61","Tonawanda",927,79.83,7.23,0,7.23,0,0,3.45,2.37,781,44,200,266,202,72,34.96,80.22,19.78,9.17,69835,58.21,62.02,64.62
"Tonawanda 62","Tonawanda",454,86.34,8.81,0,2.64,0,0.22,1.1,1.54,386,10,63,162,95,58,39.64,69.98,30.02,5.29,62800,45.88,50.97,54.46
"Tonawanda 63","Tonawanda",620,71.45,13.55,0,5.65,0,0,4.35,5.48,513,29,122,185,136,43,34.7,75.94,24.06,10.48,69718,55.9,57.58,62.84
"Tonawanda 64","Tonawanda",766,71.93,13.05,0.13,5.61,0,0,4.31,5.35,632,35,149,227,167,57,35.28,76.16,23.84,10.44,81857,54.12,55.14,62.21
"Tonawanda 65","Tonawanda",575,71.48,13.39,0,5.57,0,0,4.35,5.39,475,27,112,171,126,41,34.95,76.15,24.03,10.43,88499,52.86,59.8,64.32
"Tonawanda 66","Tonawanda",804,71.64,13.31,0.12,5.6,0,0,4.35,5.35,665,37,158,241,175,56,34.59,76.26,23.86,10.45,84464,51.54,57.45,60.15
"Tonawanda 67","Tonawanda",1161,71.58,13.35,0.09,5.6,0,0,4.31,5.43,959,54,227,347,253,80,34.72,76.12,23.88,10.42,71672,47.83,50.87,55.69
"Tonawanda 68","Tonawanda",705,92.77,0.43,0.28,0.43,0,0,1.7,4.82,599,25,136,268,105,66,28.55,89.63,10.37,5.82,84464,47.6,50.2,57.83
"Tonawanda 69","Tonawanda",683,92.83,0.44,0.29,0.44,0,0,1.61,4.83,580,24,132,260,101,64,28.45,89.72,10.43,5.71,75579,48.15,50,56.08
"Tonawanda 70","Tonawanda",721,92.79,0.42,0.28,0.42,0,0.14,1.66,4.85,612,26,140,274,107,68,28.59,89.71,10.43,5.69,78770,49.01,50,55.29
"Tonawanda 71","Tonawanda",724,84.81,4.01,0.14,1.52,0,0,2.21,7.6,581,38,180,140,142,83,38.73,90.33,9.81,7.04,81259,50.75,53.42,60.13
"Tonawanda 72","Tonawanda",804,84.7,4.1,0,1.62,0,0,2.24,7.59,645,42,198,156,158,93,38.91,90.05,9.95,7.21,83949,48.24,52.85,56.47
"Tonawanda 73","Tonawanda",735,84.76,4.08,0.14,1.63,0,0.14,2.18,7.62,590,39,182,143,144,84,38.64,90.2,9.8,7.07,78770,45.95,49.13,52.11
"Tonawanda 74","Tonawanda",767,84.75,4.04,0,1.56,0,0.13,2.22,7.69,616,40,190,149,150,88,38.64,90.22,9.78,7.04,80365,48.41,51.17,55.78
"Tonawanda 75","Tonawanda",683,92.53,0.59,0.29,0.59,0,0.15,1.76,4.83,581,25,133,258,102,65,28.57,89.59,10.41,5.71,75738,51.86,53.79,60.69
"Buffalo University 1","Buffalo University",395,61.01,24.81,0.25,8.86,0,0.51,1.01,4.56,342,18,47,114,92,74,48.25,55.5,44.76,21.27,75970,71.34,69.56,71.59
"Buffalo University 2","Buffalo University",1687,58.03,19.21,0.06,16.54,0,0.59,0.77,5.1,1480,38,221,558,427,238,44.93,35.79,64.21,34.85,79259,78.17,78.92,83.5
"Buffalo University 3","Buffalo University",1087,58.05,19.14,0,16.56,0,0.55,0.74,5.06,953,25,142,360,275,154,44.91,35.82,64.18,34.77,61077,76.85,78.23,82.95
"Buffalo University 4","Buffalo University",2060,37.62,34.32,0.49,16.94,0.05,0.1,3.98,6.7,1897,51,225,1146,285,191,25.09,27.83,72.17,22.38,64375,85.57,90.08,85.63
"Buffalo University 5","Buffalo University",704,63.78,30.26,0.28,1.14,0.14,0.14,1.28,3.69,603,46,74,174,148,163,51.58,74.75,25.4,7.81,78402,75.8,78.81,83.61
"Buffalo University 6","Buffalo University",633,57.98,19.27,0.16,16.59,0,0.63,0.79,5.21,556,14,83,210,160,90,44.96,35.76,64.4,34.91,67725,82.04,86.55,84.9
"Buffalo University 7","Buffalo University",1218,63.79,30.21,0.16,1.15,0,0,1.23,3.69,1043,80,128,300,256,282,51.58,74.73,25.35,7.72,100632,74.96,76.23,79.31
"Buffalo University 8","Buffalo University",763,32.24,42.86,0.13,12.98,0,0.13,5.9,6.29,678,33,85,288,164,111,40.41,30.57,69.56,34.34,67725,92.44,88.98,84.53
"Buffalo University 9","Buffalo University",463,26.78,45.14,0,15.12,0,0,6.7,6.7,414,18,52,185,100,60,38.65,22.86,77.14,38.88,35466,90.77,86.87,89.44
"Buffalo University 10","Buffalo University",1907,22.5,51.49,0,13.84,0,0,4.3,7.97,1595,109,223,740,338,187,32.85,31.62,68.38,37.65,40613,93.57,92.77,90.95
"Buffalo University 11","Buffalo University",1156,24.83,67.99,0.09,2.77,0.09,0,1.64,2.94,818,86,222,384,90,37,15.53,40.81,59.27,32.53,81610,91.43,93.57,93.22
"Buffalo University 12","Buffalo University",1943,24.81,67.99,0,2.73,0.05,0.05,1.6,2.99,1374,145,373,645,152,62,15.5,40.75,59.25,32.53,81779,93.31,92.9,91.73
"Buffalo University 13","Buffalo University",2768,27.93,48.34,0.04,12.39,0,0.04,4.08,7.33,2335,157,318,1027,510,324,35.72,36.26,63.78,34.03,47637,94.71,94.05,92.67
"Buffalo University 14","Buffalo University",1046,24.86,67.97,0,2.77,0,0,1.63,2.96,740,78,201,348,82,34,15.54,40.77,59.23,32.6,44123,92.11,89.45,92.49
"Buffalo University 15","Buffalo University",853,14.65,63.31,0,11.84,0,0,0.12,10.43,624,77,109,313,93,34,20.19,47.48,52.64,35.4,38358,96.54,97.44,96.35
"Buffalo University 16","Buffalo University",1962,24.77,67.99,0,2.75,0,0.05,1.58,2.96,1388,146,377,652,153,62,15.49,40.77,59.23,32.52,41608,97.82,97.15,95.86
"Buffalo University 17","Buffalo University",1438,14.39,75.24,0,3.2,0.07,0.7,3.69,2.92,1065,103,277,509,129,49,16.62,46.24,53.76,24.06,58463,91.88,89.42,91.43
"Buffalo University 18","Buffalo University",863,2.09,92.24,0,4.52,0,0,0.58,0.81,565,87,197,214,45,24,12.04,38.47,61.53,43.8,33528,99.45,98.23,96.72
"Buffalo University 19","Buffalo University",1161,12.14,76.92,0,3.27,0,0.86,4.13,2.93,867,83,223,417,106,40,16.84,47.33,52.67,22.39,41394,97.53,96.12,95.61
"Buffalo University 20","Buffalo University",821,7.67,80.02,0,3.53,0,1.22,4.99,2.92,625,58,158,303,79,29,17.28,49.63,50.37,18.76,46295,95.72,95.85,95.87
"Buffalo University 21","Buffalo University",969,7.64,80.08,0,3.51,0,1.14,5.06,2.89,738,68,187,357,94,34,17.21,49.64,50.36,18.78,53805,95.64,95.49,95.61
"Buffalo University 22","Buffalo University",1157,7.69,79.78,0.09,3.37,0,1.12,5.27,3.03,876,82,225,422,109,40,16.89,48.48,51.6,19.97,39891,95.81,95.11,93.47
"Buffalo University 23","Buffalo University",1711,7.89,72.12,0.12,0.06,0,0.06,13.44,6.49,1117,161,416,460,61,21,7.25,14.99,85.07,52.66,39891,97.73,97.01,95.28
"Buffalo University 24","Buffalo University",1274,6.83,72.14,0.16,2.75,0,0,11.77,6.67,852,119,307,343,68,17,9.86,21.77,78.31,46,29720,97.67,97.83,95.36
"Buffalo University 25","Buffalo University",1263,3.72,71.97,0.08,10.45,0,0.08,6.97,7.05,900,114,295,341,130,22,16.78,41,59.08,26.52,35460,95.54,95.35,95.27
"Buffalo University 26","Buffalo University",849,3.65,71.97,0.12,10.48,0,0.12,6.95,7.07,605,77,199,229,88,15,16.86,40.92,59.08,26.5,35587,92.58,94.24,92.2
"Buffalo University 27","Buffalo University",766,3.79,72.06,0.13,10.44,0,0.13,7.05,7.05,546,69,179,207,79,13,16.85,40.78,59.22,26.76,38904,96.22,97.3,94.74
"Wales 1","Wales",1524,97.31,0.39,0,0.07,0,0.52,0.59,1.38,1134,33,422,344,228,110,29.72,92.78,7.28,2.03,89172,30.13,27.89,33.56
"Wales 2","Wales",1486,97.24,0.4,0,0.07,0,0.54,0.54,1.35,1105,32,411,335,222,107,29.68,92.73,7.27,2.09,77338,30.38,28.03,35.5
"West Seneca 1","West Seneca",2098,93.18,1.76,0.24,0.05,0,0,2.19,2.72,1769,105,482,653,390,142,30.02,80.45,19.59,7.53,61997,40.61,47.22,49.48
"West Seneca 2","West Seneca",1582,93.93,1.83,0.25,0.06,0.06,0,3.22,0.82,1278,43,313,506,274,144,32.71,82.23,17.83,8.6,67326,47.62,48.19,51.63
"West Seneca 3","West Seneca",1793,98.16,0.56,0.11,0.06,0.06,0,1,0.28,1479,37,380,541,321,201,35.29,89.5,10.56,3.07,86851,37.95,38.77,43.62
"West Seneca 4","West Seneca",758,91.82,3.03,0.26,1.06,0.4,0,0.53,3.3,601,29,194,233,103,44,24.29,77.82,22.18,11.61,67326,40.04,39.77,45.38
"West Seneca 5","West Seneca",1833,92.96,1.96,0.16,0.71,0.27,0,1.69,2.4,1453,62,458,531,263,142,27.8,81.16,18.9,9.17,83043,35.09,37.07,40.13
"West Seneca 6","West Seneca",1635,93.94,1.28,0.06,0.86,0.12,0,2.02,1.9,1336,94,371,459,267,148,30.99,76.62,23.38,8.87,88006,40.21,36.93,42.95
"West Seneca 7","West Seneca",1484,94.34,0.74,0.07,0.27,0.13,0,3.23,1.42,1177,42,360,398,227,152,32.2,85.26,14.81,6.27,83043,40.81,42.34,49.33
"West Seneca 8","West Seneca",1187,92.25,0.51,0.08,1.52,0,0,2.27,3.62,958,31,199,344,271,115,40.19,96.03,4.05,3.71,104985,44.25,43.34,50.57
"West Seneca 9","West Seneca",1124,92.79,1.16,0.27,0.18,0,0,2.49,3.29,892,23,327,251,159,134,32.74,93.22,6.87,13.97,67992,44.91,46.78,48.21
"West Seneca 10","West Seneca",1245,93.49,0.72,0.16,0.24,0.08,0,1.2,4.34,1013,42,300,319,217,138,35.04,87.13,12.95,6.99,89808,42.39,46.25,48.7
"West Seneca 11","West Seneca",1961,94.08,0.66,0.1,0.25,0.05,0,0.36,4.69,1602,91,491,571,301,150,28.09,77.4,22.6,4.64,88469,43.02,43.57,49.4
"West Seneca 12","West Seneca",807,94.18,0.87,0.12,0.25,0.12,0,0.37,4.46,652,40,230,244,97,43,21.32,72.82,27.31,6.57,67063,44.78,47.1,50.58
"West Seneca 13","West Seneca",1033,89.84,5.03,0.1,0.39,0.1,0,1.45,3.48,834,49,271,306,141,69,25.06,68.58,31.42,6.29,76872,46.44,45.38,50.8
"West Seneca 14","West Seneca",1698,82.98,10.66,0.06,0.47,0.06,0.18,3.3,2.59,1404,71,432,514,247,142,27.64,62.9,37.1,5.54,61474,46.85,48.23,54.62
"West Seneca 15","West Seneca",1823,93.47,0.99,0.22,0.22,0.05,0,1.37,3.89,1461,65,523,483,237,154,26.76,82.46,17.54,10.15,64824,47.79,47.65,49.52
"West Seneca 16","West Seneca",1479,96.96,0.95,0.14,0.07,0,0,1.62,0.47,1213,33,308,453,263,157,34.62,87.59,12.47,4.53,85537,38.3,40.89,42.01
"West Seneca 17","West Seneca",309,91.91,1.62,0.32,0.32,0,0,2.59,3.88,246,9,89,73,44,34,31.71,88.31,11.69,14.56,69934,55.67,53.76,58.8
"West Seneca 18","West Seneca",717,91.07,1.39,0.14,0.14,0.14,0.42,1.81,5.3,614,29,239,244,64,39,16.78,72.66,27.48,6.14,59908,44.13,46.04,48.93
